Simulation Time,used STY,used MDO
1591.09,0.0013114,7.01E-05
1594.61,0.00131427,7.03E-05
1598.05,0.00131714,7.04E-05
1601.53,0.00132001,7.06E-05
1605.06,0.00132287,7.08E-05
1608.62,0.00132574,7.09E-05
1612.14,0.0013286,7.11E-05
1615.71,0.00133147,7.12E-05
1619.17,0.00133433,7.14E-05
1622.63,0.0013372,7.15E-05
1626.11,0.00134007,7.17E-05
1629.59,0.00134294,7.18E-05
1633.1,0.0013458,7.20E-05
1636.57,0.00134867,7.21E-05
1640.03,0.00135154,7.23E-05
1643.57,0.00135441,7.25E-05
1647.07,0.00135727,7.26E-05
1650.58,0.00136014,7.28E-05
1654.14,0.00136301,7.29E-05
1657.62,0.00136588,7.31E-05
1661.09,0.00136874,7.32E-05
1664.59,0.00137161,7.34E-05
1668.03,0.00137448,7.35E-05
1671.51,0.00137735,7.37E-05
1675.01,0.00138022,7.38E-05
1678.55,0.00138309,7.40E-05
1682.02,0.00138595,7.41E-05
1685.49,0.00138882,7.43E-05
1688.97,0.00139168,7.45E-05
1692.37,0.00139455,7.46E-05
1695.9,0.00139742,7.48E-05
1699.36,0.00140029,7.49E-05
1702.82,0.00140316,7.51E-05
1706.28,0.00140603,7.52E-05
1709.83,0.0014089,7.54E-05
1713.33,0.00141177,7.55E-05
1716.8,0.00141463,7.57E-05
1720.32,0.0014175,7.58E-05
1723.82,0.00142037,7.60E-05
1727.32,0.00142324,7.62E-05
1730.82,0.00142611,7.63E-05
1734.3,0.00142898,7.65E-05
1737.78,0.00143184,7.66E-05
1741.22,0.00143471,7.68E-05
1744.68,0.00143758,7.69E-05
1748.12,0.00144045,7.71E-05
1751.59,0.00144332,7.72E-05
1754.98,0.00144618,7.74E-05
1758.51,0.00144906,7.75E-05
1762.03,0.00145192,7.77E-05
1765.54,0.00145478,7.79E-05
1769.08,0.00145765,7.80E-05
1772.61,0.00146052,7.82E-05
1776.12,0.00146338,7.83E-05
1779.65,0.00146625,7.85E-05
1783.1,0.00146912,7.86E-05
1786.64,0.00147199,7.88E-05
1790.16,0.00147486,7.89E-05
1793.72,0.00147772,7.91E-05
1797.23,0.00148059,7.93E-05
1800.77,0.00148346,7.94E-05
1804.28,0.00148633,7.96E-05
1807.78,0.00148919,7.97E-05
1811.26,0.00149206,7.99E-05
1814.9,0.00149492,8.00E-05
1818.4,0.00149779,8.02E-05
1821.88,0.00150066,8.03E-05
1825.42,0.00150353,8.05E-05
1828.84,0.0015064,8.06E-05
1832.35,0.00150927,8.08E-05
1835.89,0.00151213,8.10E-05
1839.44,0.001515,8.11E-05
1842.93,0.00151787,8.13E-05
1846.36,0.00152074,8.14E-05
1849.85,0.0015236,8.16E-05
1853.35,0.00152647,8.17E-05
1856.83,0.00152934,8.19E-05
1860.32,0.00153221,8.20E-05
1863.74,0.00153507,8.22E-05
1867.19,0.00153794,8.23E-05
1870.66,0.00154081,8.25E-05
1874.24,0.00154368,8.27E-05
1877.65,0.00154655,8.28E-05
1881.2,0.00154942,8.30E-05
1884.69,0.00155229,8.31E-05
1888.12,0.00155515,8.33E-05
1891.71,0.00155801,8.34E-05
1895.15,0.00156088,8.36E-05
1898.67,0.00156375,8.37E-05
1902.24,0.00156662,8.39E-05
1905.67,0.00156948,8.41E-05
1909.27,0.00157235,8.42E-05
1912.75,0.00157522,8.44E-05
1916.26,0.00157809,8.45E-05
1919.74,0.00158096,8.47E-05
1923.19,0.00158382,8.48E-05
1926.6,0.00158669,8.50E-05
1930.07,0.00158955,8.51E-05
1933.58,0.00159241,8.53E-05
1937.08,0.00159528,8.54E-05
1940.63,0.00159814,8.56E-05
1944.16,0.001601,8.58E-05
1947.78,0.00160387,8.59E-05
1951.37,0.00160673,8.61E-05
1954.94,0.0016096,8.62E-05
1958.38,0.00161247,8.64E-05
1961.92,0.00161534,8.65E-05
1965.44,0.0016182,8.67E-05
1968.9,0.00162107,8.68E-05
1972.4,0.00162394,8.70E-05
1975.91,0.0016268,8.72E-05
1979.44,0.00162967,8.73E-05
1982.93,0.00163254,8.75E-05
